session_id,player_id,session_date,session_length_min,levels_completed
S0000162,P00024,2026-01-02,42,1
S0000163,P00024,2026-01-12,46,3
S0000164,P00025,2025-10-14,66,5
S0000165,P00025,2025-10-16,56,3
S0000166,P00025,2025-10-17,43,6
S0000167,P00025,2025-10-19,59,5
S0000168,P00025,2025-10-23,82,7
S0000169,P00025,2025-10-26,58,5
S0000170,P00025,2025-10-27,56,4
S0000171,P00025,2025-10-28,52,4
S0000172,P00025,2025-10-28,45,3
S0000173,P00026,2025-11-16,21,1
S0000174,P00026,2025-11-20,30,1
S0000175,P00026,2025-11-21,32,2
S0000176,P00026,2025-11-22,27,1
S0000177,P00026,2025-12-15,9,1
S0000178,P00027,2025-12-23,24,4
S0000179,P00027,2025-12-25,14,2
S0000180,P00027,2025-12-27,32,3
S0000181,P00027,2025-12-30,26,1
S0000182,P00027,2026-01-14,32,4
S0000183,P00027,2026-01-26,16,1
S0000184,P00028,2025-10-01,46,5
S0000185,P00028,2025-10-01,36,3
S0000186,P00028,2025-10-03,35,4
S0000187,P00028,2025-10-04,47,3
S0000188,P00028,2025-10-05,34,4
S0000189,P00028,2025-10-07,48,5
S0000190,P00028,2025-10-08,37,3
S0000191,P00028,2025-10-09,44,6
S0000192,P00028,2025-10-09,46,4
S0000193,P00028,2025-10-13,51,3
S0000194,P00028,2025-10-25,49,4
S0000195,P00029,2025-12-27,33,4
S0000196,P00029,2025-12-27,42,6
S0000197,P00029,2026-01-01,47,4
S0000198,P00030,2025-12-10,28,3
S0000199,P00030,2025-12-11,14,1
S0000200,P00030,2025-12-13,19,2
S0000201,P00030,2025-12-13,24,3
S0000202,P00030,2026-01-07,14,4
S0000203,P00030,2026-01-15,6,0
S0000204,P00030,2026-01-15,30,0
S0000205,P00030,2026-01-17,28,1
S0000206,P00031,2025-10-06,65,8
S0000207,P00031,2025-10-09,39,3
S0000208,P00031,2025-10-12,56,5
S0000209,P00031,2025-10-14,44,5
S0000210,P00031,2025-10-20,41,3
S0000211,P00031,2025-10-20,44,5
S0000212,P00031,2025-10-25,53,3
S0000213,P00031,2025-11-03,63,4
S0000214,P00031,2025-11-13,43,4
S0000215,P00032,2025-11-21,26,2
S0000216,P00032,2025-11-26,48,3
S0000217,P00032,2025-11-27,31,1
S0000218,P00032,2025-11-29,24,5
S0000219,P00032,2025-11-30,20,1
S0000220,P00032,2025-11-30,34,2
S0000221,P00032,2025-12-01,26,1
S0000222,P00032,2025-12-06,46,4
S0000223,P00032,2025-12-06,54,6
S0000224,P00032,2025-12-07,25,2
S0000225,P00032,2025-12-12,36,1
S0000226,P00032,2025-12-18,32,2
S0000227,P00033,2026-01-24,28,1
S0000228,P00033,2026-01-27,29,3
S0000229,P00033,2026-01-29,41,3
S0000230,P00034,2026-01-31,31,1
S0000231,P00035,2025-10-30,21,3
S0000232,P00035,2025-11-03,31,4
S0000233,P00035,2025-11-08,30,2
S0000234,P00035,2025-11-10,17,4
S0000235,P00035,2025-11-12,22,1
S0000236,P00035,2025-11-23,25,2
S0000237,P00035,2025-11-23,28,1
S0000238,P00035,2025-11-23,32,4
S0000239,P00035,2025-11-30,26,2
S0000240,P00036,2026-01-01,20,1
S0000241,P00036,2026-01-03,35,2
S0000242,P00036,2026-01-03,32,3
S0000243,P00036,2026-01-04,29,2
S0000244,P00036,2026-01-04,16,1
S0000245,P00036,2026-01-08,33,2
S0000246,P00036,2026-01-10,42,4
S0000247,P00036,2026-01-10,5,0
S0000248,P00036,2026-01-12,38,2
S0000249,P00036,2026-01-18,30,3
S0000250,P00036,2026-01-19,37,2
S0000251,P00037,2026-01-08,37,0
S0000252,P00037,2026-01-10,44,3
S0000253,P00037,2026-01-15,72,6
S0000254,P00037,2026-01-19,34,3
S0000255,P00037,2026-01-19,31,2
S0000256,P00037,2026-01-26,39,6
S0000257,P00037,2026-01-26,35,3
S0000258,P00037,2026-01-27,44,3
S0000259,P00038,2025-10-29,35,1
S0000260,P00038,2025-10-30,37,5
S0000261,P00038,2025-10-31,30,3
S0000262,P00038,2025-11-03,44,4
S0000263,P00038,2025-11-04,34,3
S0000264,P00038,2025-11-05,41,4
S0000265,P00038,2025-11-06,20,0
S0000266,P00038,2025-11-13,33,1
S0000267,P00038,2025-11-16,34,3
S0000268,P00038,2025-11-18,26,3
S0000269,P00038,2025-11-18,37,4
S0000270,P00038,2025-11-22,28,3
S0000271,P00038,2025-11-24,24,3
S0000272,P00038,2025-11-24,26,3
S0000273,P00038,2025-11-24,28,4
S0000274,P00038,2025-11-30,24,2
S0000275,P00039,2025-11-22,11,1
S0000276,P00039,2025-11-23,29,4
S0000277,P00039,2025-11-24,12,1
S0000278,P00039,2025-11-26,41,3
S0000279,P00039,2025-11-30,12,2
S0000280,P00039,2025-12-06,18,1
S0000281,P00039,2025-12-06,17,4
S0000282,P00039,2025-12-08,26,4
S0000283,P00039,2025-12-10,36,4
S0000284,P00039,2025-12-11,42,2
S0000285,P00039,2025-12-20,19,2
S0000286,P00039,2026-01-03,11,4
S0000287,P00039,2026-01-22,20,1
S0000288,P00039,2026-01-30,16,3
S0000289,P00040,2025-12-19,16,2
S0000290,P00040,2025-12-22,15,0
S0000291,P00040,2025-12-28,11,2
S0000292,P00040,2026-01-08,26,1
S0000293,P00041,2025-12-23,54,3
S0000294,P00041,2025-12-23,59,6
S0000295,P00041,2025-12-24,43,4
S0000296,P00041,2025-12-25,65,5
S0000297,P00041,2025-12-30,81,6
S0000298,P00041,2026-01-10,49,5
S0000299,P00041,2026-01-12,56,6
S0000300,P00041,2026-01-25,70,6
S0000301,P00041,2026-01-29,62,3
S0000302,P00042,2026-01-29,21,2
S0000303,P00042,2026-01-30,25,3
S0000304,P00043,2025-10-13,40,4
S0000305,P00043,2025-10-14,39,5
S0000306,P00043,2025-10-14,26,2
S0000307,P00043,2025-10-15,52,6
S0000308,P00043,2025-10-25,48,5
S0000309,P00043,2025-10-30,40,4
S0000310,P00043,2025-11-06,24,2
S0000311,P00043,2025-11-11,48,6
S0000312,P00043,2025-11-13,35,2
S0000313,P00043,2025-11-13,31,3
S0000314,P00043,2025-11-20,35,2
S0000315,P00043,2025-12-04,23,2
S0000316,P00044,2025-10-13,42,1
S0000317,P00044,2025-10-13,30,1
S0000318,P00044,2025-10-14,20,1
S0000319,P00044,2025-10-14,27,2
S0000320,P00044,2025-10-19,46,3
S0000321,P00044,2025-10-19,26,3
S0000322,P00044,2025-10-20,28,2
S0000323,P00044,2025-10-20,30,2
S0000324,P00044,2025-10-23,27,3
S0000325,P00044,2025-10-26,21,0
S0000326,P00044,2025-11-01,33,5
S0000327,P00045,2026-01-28,44,3
S0000328,P00045,2026-01-28,15,2
S0000329,P00046,2025-10-28,25,3
S0000330,P00046,2025-10-29,19,1
S0000331,P00046,2025-10-30,15,1
S0000332,P00046,2025-10-31,22,3
S0000333,P00046,2025-11-01,20,2
S0000334,P00046,2025-11-05,7,0
S0000335,P00046,2025-11-07,20,1
S0000336,P00046,2025-11-07,14,1
S0000337,P00046,2025-11-09,5,1
S0000338,P00046,2025-11-22,27,3
S0000339,P00046,2025-11-22,28,2
S0000340,P00046,2025-12-02,33,3
S0000341,P00047,2025-12-07,41,4
S0000342,P00047,2025-12-08,42,5
S0000343,P00047,2025-12-09,66,4
S0000344,P00047,2025-12-14,42,4
S0000345,P00047,2025-12-16,56,6
S0000346,P00047,2025-12-18,46,3
S0000347,P00047,2025-12-19,60,4
S0000348,P00047,2025-12-19,43,3
S0000349,P00047,2025-12-24,49,3
S0000350,P00048,2026-01-02,9,0
S0000351,P00048,2026-01-10,5,0
S0000352,P00048,2026-01-17,14,0
S0000353,P00049,2025-11-23,58,5
S0000354,P00049,2025-11-24,65,5
S0000355,P00049,2025-11-25,62,7
S0000356,P00049,2025-11-25,73,7
S0000357,P00049,2025-11-26,51,4
S0000358,P00049,2025-11-27,81,8
S0000359,P00049,2025-11-29,50,6
S0000360,P00049,2025-12-01,59,6
S0000361,P00049,2025-12-08,54,5
S0000362,P00049,2025-12-27,57,4
S0000363,P00049,2025-12-27,53,4
S0000364,P00050,2026-01-13,47,3
S0000365,P00050,2026-01-16,54,4
S0000366,P00050,2026-01-17,54,4
S0000367,P00050,2026-01-18,61,4
S0000368,P00050,2026-01-22,62,5
S0000369,P00050,2026-01-26,46,5
S0000370,P00050,2026-01-27,57,5
S0000371,P00051,2025-12-06,9,0
S0000372,P00052,2025-11-03,47,4
S0000373,P00052,2025-11-04,48,4
S0000374,P00052,2025-11-07,39,0
S0000375,P00052,2025-11-08,42,3
S0000376,P00052,2025-11-09,74,6
S0000377,P00052,2025-11-11,69,7
S0000378,P00052,2025-11-14,45,2
S0000379,P00052,2025-11-25,67,6
S0000380,P00052,2025-11-28,43,2
S0000381,P00052,2025-12-03,49,4
S0000382,P00052,2025-12-10,52,6
S0000383,P00052,2025-12-19,35,2
S0000384,P00052,2025-12-31,22,1
S0000385,P00053,2025-10-30,24,0
S0000386,P00053,2025-10-30,27,3
S0000387,P00053,2025-11-01,31,4
S0000388,P00053,2025-11-03,26,2
S0000389,P00053,2025-11-16,28,1
S0000390,P00053,2025-11-24,28,0
S0000391,P00053,2025-11-25,28,2
S0000392,P00054,2025-10-07,32,4
S0000393,P00054,2025-10-10,27,3
S0000394,P00054,2025-10-10,40,3
S0000395,P00054,2025-10-13,45,3
S0000396,P00054,2025-10-17,44,3
S0000397,P00054,2025-10-18,47,5
S0000398,P00054,2025-10-18,40,2
S0000399,P00054,2025-11-17,37,3
S0000400,P00054,2025-11-21,38,1
S0000401,P00055,2025-11-22,12,2
S0000402,P00055,2025-11-24,31,3
S0000403,P00055,2025-11-25,36,1
S0000404,P00055,2025-11-25,15,0
S0000405,P00055,2025-11-27,13,2
S0000406,P00055,2025-11-27,24,2
S0000407,P00055,2025-11-29,19,0
S0000408,P00055,2025-12-04,17,4
S0000409,P00055,2025-12-06,11,0
S0000410,P00055,2025-12-14,19,3
S0000411,P00055,2025-12-14,12,3
S0000412,P00055,2025-12-15,15,2
S0000413,P00055,2025-12-22,14,1
S0000414,P00056,2025-11-05,5,0
S0000415,P00056,2025-11-06,10,3
S0000416,P00056,2025-11-08,20,2
S0000417,P00056,2025-11-08,40,4
S0000418,P00056,2025-11-12,8,0
S0000419,P00056,2025-11-13,20,2
S0000420,P00057,2025-12-11,63,6
S0000421,P00057,2025-12-11,30,3
S0000422,P00057,2025-12-12,30,2
S0000423,P00057,2025-12-14,25,2
S0000424,P00057,2025-12-17,48,2
S0000425,P00057,2025-12-17,19,0
S0000426,P00057,2025-12-21,42,4
S0000427,P00057,2025-12-23,36,2
S0000428,P00057,2025-12-23,36,4
S0000429,P00057,2025-12-27,46,3
S0000430,P00057,2025-12-31,31,3
S0000431,P00057,2026-01-01,51,5
S0000432,P00058,2026-01-02,43,5
S0000433,P00058,2026-01-03,47,5
S0000434,P00058,2026-01-05,29,1
S0000435,P00058,2026-01-06,39,6
S0000436,P00058,2026-01-11,33,3
S0000437,P00058,2026-01-12,23,0
S0000438,P00058,2026-01-16,36,3
S0000439,P00059,2025-12-02,41,3
S0000440,P00059,2025-12-03,46,5
S0000441,P00059,2025-12-04,27,2
S0000442,P00059,2025-12-07,38,1
S0000443,P00059,2025-12-12,29,4
S0000444,P00060,2025-10-29,18,2
S0000445,P00060,2025-10-29,31,2
S0000446,P00060,2025-11-03,5,0
S0000447,P00060,2025-11-03,5,1
S0000448,P00060,2025-11-04,11,0
S0000449,P00060,2025-11-05,26,0
S0000450,P00060,2025-11-06,16,1
S0000451,P00060,2025-11-06,13,0
S0000452,P00060,2025-11-07,5,0
S0000453,P00060,2025-11-09,29,1
S0000454,P00060,2025-11-10,17,1
S0000455,P00060,2025-11-10,8,1
S0000456,P00060,2025-11-13,17,1
S0000457,P00060,2025-11-13,10,1
S0000458,P00060,2025-11-16,39,4
S0000459,P00060,2025-11-19,11,1
S0000460,P00060,2025-12-07,13,0
S0000461,P00060,2025-12-15,25,2
S0000462,P00061,2025-10-07,15,2
S0000463,P00061,2025-10-09,24,2
S0000464,P00061,2025-10-13,17,0
S0000465,P00061,2025-10-14,26,2
S0000466,P00061,2025-10-14,7,0
S0000467,P00061,2025-10-15,25,3
S0000468,P00061,2025-10-15,15,1
S0000469,P00061,2025-10-16,20,0
S0000470,P00061,2025-10-16,16,2
S0000471,P00061,2025-10-18,23,4
S0000472,P00061,2025-10-19,27,3
S0000473,P00061,2025-11-01,25,3
S0000474,P00062,2025-10-13,37,3
S0000475,P00062,2025-10-14,47,2
S0000476,P00062,2025-10-14,52,4
S0000477,P00062,2025-10-16,18,2
S0000478,P00062,2025-10-18,49,3
S0000479,P00062,2025-10-18,50,5
S0000480,P00062,2025-10-19,40,3
S0000481,P00062,2025-10-23,30,3
S0000482,P00062,2025-10-27,26,3
S0000483,P00062,2025-11-01,18,2
S0000484,P00062,2025-11-08,33,4
S0000485,P00062,2025-11-09,42,4
S0000486,P00062,2025-11-20,38,2
S0000487,P00063,2025-11-11,23,3
S0000488,P00063,2025-11-25,17,3
S0000489,P00063,2025-11-27,22,0
S0000490,P00063,2025-12-20,12,2
S0000491,P00063,2026-01-22,12,1
S0000492,P00064,2025-11-10,36,3
S0000493,P00064,2025-11-11,17,1
S0000494,P00064,2025-11-11,30,3
S0000495,P00064,2025-11-14,55,7
S0000496,P00064,2025-12-06,37,2
S0000497,P00065,2025-10-12,51,4
S0000498,P00065,2025-10-14,34,2
S0000499,P00065,2025-10-20,38,3
S0000500,P00065,2025-10-20,29,3
S0000501,P00065,2025-10-22,29,3
S0000502,P00065,2025-10-23,34,5
S0000503,P00065,2025-10-24,42,2
S0000504,P00065,2025-10-29,40,4
S0000505,P00065,2025-11-02,48,3
S0000506,P00065,2025-11-04,22,4
S0000507,P00065,2025-11-04,18,3
S0000508,P00065,2025-11-10,31,1
S0000509,P00066,2025-12-08,38,3
S0000510,P00066,2025-12-08,56,3
S0000511,P00066,2025-12-09,39,5
S0000512,P00066,2025-12-09,43,3
S0000513,P00066,2025-12-10,25,3
S0000514,P00066,2025-12-10,30,3
S0000515,P00066,2025-12-18,37,3
S0000516,P00066,2025-12-20,44,4
S0000517,P00066,2025-12-21,40,4
S0000518,P00066,2025-12-22,39,2
S0000519,P00066,2025-12-26,20,3
S0000520,P00066,2025-12-27,37,4
S0000521,P00067,2025-10-20,32,5
S0000522,P00067,2025-10-21,25,2
S0000523,P00067,2025-10-24,27,2
S0000524,P00067,2025-10-26,27,2
S0000525,P00067,2025-10-26,31,4
S0000526,P00067,2025-10-31,22,0
S0000527,P00067,2025-11-09,17,1
S0000528,P00068,2026-01-10,32,4
S0000529,P00068,2026-01-10,21,4
S0000530,P00068,2026-01-11,27,2
S0000531,P00068,2026-01-11,15,1
S0000532,P00068,2026-01-17,17,0
S0000533,P00068,2026-01-19,20,2
S0000534,P00068,2026-01-21,24,2
S0000535,P00069,2026-01-14,23,2
S0000536,P00069,2026-01-14,17,0
S0000537,P00069,2026-01-16,13,1
S0000538,P00069,2026-01-17,17,3
S0000539,P00069,2026-01-23,30,1
S0000540,P00069,2026-01-23,23,1
S0000541,P00069,2026-01-25,29,3
S0000542,P00069,2026-01-25,8,1
S0000543,P00070,2025-11-16,14,0
S0000544,P00070,2025-11-16,17,1
S0000545,P00070,2025-11-20,14,2
S0000546,P00070,2025-12-03,13,2
S0000547,P00071,2025-11-18,46,5
S0000548,P00071,2025-11-22,44,3
S0000549,P00071,2025-11-24,48,3
S0000550,P00071,2025-11-24,25,4
S0000551,P00071,2025-11-26,48,3
S0000552,P00071,2025-12-01,44,4
S0000553,P00071,2025-12-02,46,3
S0000554,P00071,2025-12-03,69,4
S0000555,P00071,2025-12-11,53,2
S0000556,P00071,2025-12-11,24,4
S0000557,P00072,2025-10-16,26,1
S0000558,P00072,2025-10-17,23,1
S0000559,P00072,2025-10-17,12,0
S0000560,P00072,2025-10-19,28,2
S0000561,P00072,2025-10-20,24,2
S0000562,P00072,2025-10-21,20,2
S0000563,P00072,2025-10-24,14,2
S0000564,P00072,2025-10-24,19,2
S0000565,P00072,2025-10-25,14,2
S0000566,P00072,2025-10-26,23,4
S0000567,P00072,2025-10-27,15,3
S0000568,P00073,2025-10-07,5,2
S0000569,P00073,2025-10-08,24,3
S0000570,P00073,2025-10-10,25,2
S0000571,P00073,2025-10-11,5,0
S0000572,P00073,2025-10-12,5,3
S0000573,P00073,2025-10-18,6,1
S0000574,P00073,2025-10-28,5,0
S0000575,P00073,2025-10-29,26,1
S0000576,P00073,2025-11-12,14,0
S0000577,P00073,2025-11-12,5,0
S0000578,P00074,2025-10-16,31,3
S0000579,P00074,2025-10-18,39,4
S0000580,P00074,2025-10-19,49,5
S0000581,P00074,2025-10-21,28,2
S0000582,P00074,2025-10-23,59,6
S0000583,P00074,2025-10-23,61,5
S0000584,P00074,2025-10-26,52,6
S0000585,P00074,2025-11-05,24,0
S0000586,P00074,2025-11-08,30,3
S0000587,P00074,2025-11-10,32,4
S0000588,P00074,2025-11-28,43,1
S0000589,P00075,2025-10-17,9,1
S0000590,P00076,2025-10-02,25,1
S0000591,P00076,2025-10-06,31,3
S0000592,P00076,2025-10-06,42,3
S0000593,P00076,2025-10-09,27,2
S0000594,P00076,2025-10-10,29,3
S0000595,P00076,2025-10-10,37,1
S0000596,P00077,2025-12-14,42,3
S0000597,P00077,2025-12-15,20,1
S0000598,P00077,2025-12-15,41,0
S0000599,P00077,2025-12-17,50,4
S0000600,P00077,2025-12-18,61,4
S0000601,P00077,2025-12-19,45,5
S0000602,P00077,2025-12-28,41,8
S0000603,P00078,2025-10-12,43,4
S0000604,P00078,2025-10-18,42,1
S0000605,P00078,2025-10-18,40,3
S0000606,P00078,2025-10-20,30,2
S0000607,P00078,2025-10-26,32,4
S0000608,P00078,2025-10-27,45,4
S0000609,P00078,2025-11-04,32,2
S0000610,P00078,2025-11-04,35,1
S0000611,P00079,2025-11-16,62,4
S0000612,P00079,2025-11-16,40,5
S0000613,P00079,2025-11-17,76,6
S0000614,P00079,2025-11-21,39,5
S0000615,P00079,2025-11-23,55,5
S0000616,P00079,2025-11-27,61,5
S0000617,P00079,2025-11-27,64,5
S0000618,P00079,2025-11-28,47,4
S0000619,P00079,2025-12-01,54,4
S0000620,P00079,2025-12-01,72,5
S0000621,P00079,2025-12-04,48,7
S0000622,P00079,2025-12-09,58,5
S0000623,P00079,2025-12-12,27,4
S0000624,P00079,2025-12-12,55,4
S0000625,P00080,2025-11-25,34,4
S0000626,P00080,2025-12-12,33,3
S0000627,P00080,2025-12-18,35,3
S0000628,P00081,2025-12-01,25,2
S0000629,P00081,2025-12-02,28,3
S0000630,P00081,2026-01-05,28,1
S0000631,P00082,2025-11-22,16,0
S0000632,P00082,2025-12-01,13,0
S0000633,P00082,2025-12-01,31,3
S0000634,P00082,2025-12-03,18,2
S0000635,P00082,2025-12-03,22,3
S0000636,P00082,2025-12-06,28,1
S0000637,P00082,2025-12-08,18,1
S0000638,P00082,2025-12-10,20,2
S0000639,P00082,2025-12-10,19,0
S0000640,P00083,2025-10-20,30,2
S0000641,P00083,2025-10-21,25,3
S0000642,P00083,2025-10-22,35,2
S0000643,P00083,2025-10-24,33,2
S0000644,P00083,2025-10-27,23,2
S0000645,P00083,2025-10-28,32,3
S0000646,P00083,2025-10-31,31,4
S0000647,P00083,2025-11-12,30,4
S0000648,P00083,2025-11-20,30,1
S0000649,P00083,2025-12-09,37,3
S0000650,P00084,2025-12-31,56,4
S0000651,P00084,2025-12-31,50,4
S0000652,P00084,2026-01-05,50,3
S0000653,P00084,2026-01-07,79,8
S0000654,P00084,2026-01-10,52,6
S0000655,P00084,2026-01-10,62,7
S0000656,P00084,2026-01-13,47,5
S0000657,P00084,2026-01-14,58,6
S0000658,P00084,2026-01-14,51,4
S0000659,P00084,2026-01-17,63,6
S0000660,P00084,2026-01-22,44,2
S0000661,P00085,2025-12-05,19,2
S0000662,P00085,2025-12-05,19,4
S0000663,P00085,2025-12-26,8,0
S0000664,P00086,2025-12-30,39,3
S0000665,P00086,2026-01-02,22,2
S0000666,P00086,2026-01-07,24,1
S0000667,P00086,2026-01-13,14,1
S0000668,P00086,2026-01-27,19,2
S0000669,P00086,2026-01-29,27,1
S0000670,P00087,2025-11-10,52,3
S0000671,P00087,2025-11-12,43,4
S0000672,P00087,2025-11-15,53,3
S0000673,P00087,2025-11-20,38,4
S0000674,P00087,2025-11-21,47,4
S0000675,P00087,2025-11-27,29,2
S0000676,P00087,2025-12-09,47,4
S0000677,P00088,2025-12-18,57,4
S0000678,P00088,2025-12-20,57,4
S0000679,P00088,2025-12-27,33,4
S0000680,P00088,2026-01-05,35,3
S0000681,P00088,2026-01-05,31,2
S0000682,P00088,2026-01-06,41,3
S0000683,P00088,2026-01-14,41,2
S0000684,P00088,2026-01-15,38,2
S0000685,P00088,2026-01-21,35,1
S0000686,P00089,2026-01-09,47,5
S0000687,P00089,2026-01-09,44,3
S0000688,P00089,2026-01-11,35,4
S0000689,P00089,2026-01-11,49,4
S0000690,P00089,2026-01-12,50,2
S0000691,P00089,2026-01-14,29,3
S0000692,P00089,2026-01-16,61,6
S0000693,P00089,2026-01-19,62,4
S0000694,P00089,2026-01-22,32,2
S0000695,P00089,2026-01-25,43,3
S0000696,P00089,2026-01-25,44,4
S0000697,P00090,2025-10-29,21,1
